i,URL,Green Hosting,Bytes,Cleaner Than %,Statistics: Adjusted Bytes,Statistics: Energy (KWG),"Statistics: CO2 Grams, Grid","Statistics: CO2 Litres, Grid","Statistics: CO2 Grams, Renewable","Statistics: CO2 Litres, Renewable",Gathered At:
33263,https://www.arcadia.edu/,False,29414756,1.0,22208140.78,0.0167531837074086,7.404907198674605,4.118609383902815,6.419819996678979,3.570703882152847,2022-05-13 09:46:18
50436,https://afrotech.com/,True,29371655,2.0,22175599.525,0.0167286355190444,7.394056899417657,4.1125744474561,6.410413130897843,3.56547178340538,2022-05-21 08:33:45
21580,https://mastergo.com/,False,29318737,1.0,22135646.435,0.0166984960551839,7.380735256391299,4.10516494960484,6.398863688346484,3.559047983458314,2022-05-06 19:48:49
24834,https://thetake.ai/,False,29154049,1.0,22011306.995,0.0166046979520004,7.339276494784188,4.082105586398964,6.362920255206563,3.53905624594589,2022-05-10 15:35:54
12312,https://tnt-online.ru/,False,29073299,1.0,21950340.745,0.0165587067636195,7.318948389519845,4.070799094250937,6.345296431819016,3.529253875377736,2022-05-05 18:38:09
36534,https://welcome.ufcfightpass.com/region/belgium,False,29043941,1.0,21928175.455,0.0165419859053101,7.311557770147081,4.066688431755805,6.338888998914845,3.525690061196436,2022-05-14 10:05:12
12440,https://www.yu.edu/,False,29011978,1.0,21904043.39,0.0165237813684158,7.303511364839784,4.062213021123887,6.331913020376936,3.5218100219336512,2022-05-05 18:47:32
32694,http://rt.plus/,False,28998009,1.0,21893496.795,0.0165158253199886,7.299994791434986,4.060257102996139,6.3288642626196525,3.5201143028690502,2022-05-13 09:17:07
13524,https://participant.com/,False,28973799,1.0,21875218.245,0.0165020365067292,7.293900135974307,4.056867255628909,6.323580389378631,3.517175412572394,2022-05-06 09:26:27
48052,https://ahamo.com/,False,28950775,1.0,21857835.125,0.0164889231801498,7.288104045626242,4.053643470177315,6.318555362633431,3.5143804926967137,2022-05-19 13:29:09
17845,https://www.jegs.com/,True,28940372,2.0,21849980.86,0.0164829981481656,7.285485181489215,4.0521868579443,6.316284890377076,3.513117656027729,2022-05-06 13:47:24
19456,https://theinitium.com/,True,28838659,2.0,21773187.545,0.016425067476416,7.259879824575876,4.0379451584291015,6.294085856962615,3.5007705536426057,2022-05-06 18:42:04
46364,https://smosh.com/,True,28828194,2.0,21765286.47,0.0164191071323119,7.257245352481864,4.036479865050413,6.291801853101925,3.4995001906952896,2022-05-19 10:10:06
6911,https://www.biospace.com/,True,28811688,2.0,21752824.44,0.0164097061347216,7.253090111546965,4.034168720042421,6.288199390825333,3.497496501177049,2022-05-05 10:08:53
21111,https://www.topazlabs.com/,True,28783416,2.0,21731479.08,0.0163936038080602,7.245972883162647,4.030210117615064,6.282028979248704,3.494064518258128,2022-05-06 19:16:39
23493,https://winnipegsun.com/,True,28771018,2.0,21722118.59,0.0163865425231866,7.242851795248501,4.028474168517215,6.279323094885126,3.4925595053751066,2022-05-07 10:01:02
24830,https://friday.ru/,False,28659070,1.0,21637597.85,0.0163227825039066,7.214669866726735,4.012799379873409,6.254890255497025,3.4789699601074444,2022-05-10 15:34:23
46697,https://www.cae.com/,True,28627153,2.0,21613500.515,0.016304604166327,7.206635041516554,4.0083304100915065,6.247924316536525,3.475095504857615,2022-05-19 10:25:10
14341,https://unmsm.edu.pe/,False,28567158,1.0,21568204.29,0.0162704339948482,7.19153182572294,3.9999300014670975,6.234830306825862,3.467812616656544,2022-05-06 10:27:34
26319,https://whatreallyhappened.com/,True,28500019,2.0,21517514.345,0.0162321949558798,7.174630170498881,3.990529300831477,6.220177107093148,3.4596625069652083,2022-05-11 11:20:09
40781,https://gocolumbialions.com/,False,28489337,1.0,21509449.435,0.0162261110193561,7.17194107055543,3.989033623442929,6.217845742617288,3.458365802043735,2022-05-15 10:20:19
41447,https://radiomayak.ru/,False,28474275,1.0,21498077.625,0.0162175324524287,7.168149343973492,3.986924665118056,6.214558435770685,3.456537401975654,2022-05-15 12:00:25
30929,https://www.lovense.com/,True,28449721,2.0,21479539.355,0.016203547713859,7.161968089525682,3.983486651394184,6.209199483950773,3.453556752973419,2022-05-12 17:17:36
19949,https://www.falabella.com.co/falabella-co,True,28433483,2.0,21467279.665,0.0161942993557546,7.157880315243546,3.98121303133846,6.205655513125175,3.451585596400222,2022-05-06 19:02:11
32087,https://www.eltonjohn.com/,False,28424108,1.0,21460201.54,0.0161889598214998,7.155520241102949,3.97990035810146,6.203609403598757,3.4504475502816283,2022-05-12 18:25:21
1652,https://www.uniqlo.com/fr/fr/home,False,28410987,1.0,21450295.185,0.0161814867517445,7.152217144271079,3.978063175643573,6.2007457232685015,3.44885477128194,2022-05-04 15:51:45
4748,https://koreaherald.com/,False,28399835,1.0,21441875.425,0.0161751351265702,7.149409725944047,3.9765016895700778,6.198311780501717,3.4475010123150542,2022-05-04 19:07:06
34334,https://umm.ac.id/,False,28376128,1.0,21423976.64,0.016161632797122,7.143441696327925,3.973182271497591,6.193137687857153,3.4446231819861475,2022-05-13 12:59:37
43851,https://graphicex.com/,True,28306298,2.0,21371254.99,0.016121861098241,7.125862605422549,3.963404781136021,6.177897172845976,3.436146407536931,2022-05-17 09:50:53
16605,https://www.appnext.com/,False,28240842,1.0,21321835.71,0.016084580612462,7.109384630708211,3.9542397315999054,6.163611290695445,3.4282005998848057,2022-05-06 12:21:17
16200,https://www.nextpit.com/,True,28193232,2.0,21285890.16,0.0160574643217027,7.097399230192602,3.947573451833125,6.1532203280764834,3.42242114647614,2022-05-06 12:07:25
39413,https://www.kfu.edu.sa/ar/pages/home.aspx,False,28175644,1.0,21272611.22,0.0160474470706656,7.09297160523422,3.945110806831273,6.149381717479081,3.420286111261864,2022-05-14 13:18:51
47025,https://osaka-info.jp/,True,28121225,2.0,21231524.875,0.016016452711774,7.079272098604124,3.937491141243613,6.137504679151812,3.413680102544237,2022-05-19 10:36:25
18620,https://www.lingoda.com/en/,False,28118883,1.0,21229756.665,0.0160151188249234,7.078682520616148,3.9371632179667007,6.136993533710652,3.413395803449864,2022-05-06 14:32:16
25461,https://www.kristv.com/,False,28070015,1.0,21192861.325,0.0159872860398609,7.066380429618526,3.930320794953824,6.126328010474705,3.4074636394260303,2022-05-10 16:10:54
9766,https://www.cw.com.tw/,True,28041153,2.0,21171070.515,0.0159708476785104,7.059114673901629,3.926279581624085,6.1200288304052135,3.40396003547138,2022-05-05 12:55:47
27357,https://www2.acadiau.ca/home.html,False,28030840,1.0,21163284.2,0.015964973906055,7.056518466476351,3.9248355710541456,6.117778000800312,3.402708124045133,2022-05-11 11:37:06
22184,https://www.usahockey.com/,False,28020237,1.0,21155278.935,0.0159589349640067,7.053849254090991,3.9233509551254087,6.115463878207393,3.4014210090589514,2022-05-07 08:31:58
14326,https://akurat.co/,True,27931342,2.0,21088163.21,0.0159083047882653,7.031470716413297,3.910904012469075,6.096062394863293,3.390629904022963,2022-05-06 10:24:03
11950,https://simpasian.net/,True,27920855,2.0,21080245.525,0.0159023319140542,7.02883070601197,3.9094356386838567,6.093773589465582,3.389356870460756,2022-05-05 18:27:40
