URL,Green Hosting,Bytes,Cleaner Than %,Stats_Adjusted Bytes,Stats_Energy,Stats_CO2_Grid_Grams,Stats_CO2_Grid_Litres,Stats_CO2_Renewable_Grams,Stats_CO2_Renewable_Litres
True,4299987,0.26,3246490.185,0.002449058974022,1.0824840665177442,0.6020776377971692,0.938479398845248,0.5219822416377269,1651677883
True,1793167,0.58,1353841.085,0.0010212988395709,0.4514140870903619,0.2510765152396592,0.3913617153235898,0.2176753860629806,1651677871
unknown,5006592,0.19,3779976.96,0.0028515060782432,1.260365686583519,0.7010153948777532,1.0926971291828158,0.607758143251482,1651677879
unknown,495789,0.88,374320.695,0.0002823767838533,0.1248105384632013,0.0694196214932326,0.1082067835726216,0.0601846130230921,1651677872
True,1224536,0.71,924524.68,0.0006974348712712,0.3082662131018937,0.1714576677272732,0.2672570426711441,0.1486483671336903,1651677873
unknown,3173367,0.32,2395892.085,0.0018073921919334,0.7988673488345929,0.4443300194218004,0.692592687948905,0.3852200530371809,1651677884
unknown,3542380,0.28,2674496.9,0.0020175636643543,0.8917631396446377,0.4959986582703474,0.7731303961806001,0.4300151263556497,1651677886
unknown,3575026,0.28,2699144.63,0.0020361572041176,0.8999814842199906,0.5005697015231587,0.7802554406178742,0.4339780760716615,1651677882
unknown,4322660,0.22,3263608.3,0.0024619723884388,1.0881917956899851,0.6052522767627696,0.9434278192497793,0.524734553066727,1651677890
unknown,1480210,0.6,1117558.55,0.0008430540799163,0.3726299033230171,0.207256752228262,0.3230583234239371,0.1796850394883937,1651677909
unknown,503891,0.88,380437.705,0.0002869912805501,0.1268501460031606,0.0705540512069579,0.1099750587068126,0.0611681276527291,1651677865
unknown,2200598,0.44,1661451.49,0.001253351296205,0.5539812729226425,0.3081243839995737,0.4802842167057842,0.2671340813317571,1651677867
unknown,2640061,0.38,1993246.055,0.0015036475887056,0.6646122342078946,0.3696573246664309,0.5761977559920028,0.3204811918827519,1651684975
unknown,4386013,0.22,3311439.815,0.0024980551098939,1.104140358573105,0.6141228674383611,0.9572547181113438,0.5324250742135292,1651685050
unknown,3732094,0.26,2817730.97,0.0021256153338588,0.939521977565624,0.522562123922,0.8145357959347219,0.4530448096988922,1651684884
